Time,Name,Latitude,Longitude,Temperature,Precipitation,WindSpeed,WindDirection
2025-08-01 09:00:00,札幌,43.0642,141.3469,22.4,0.0,3.2,270
2025-08-01 09:00:00,仙台,38.2682,140.8694,27.3,0.0,5.1,210
2025-08-01 09:00:00,東京,35.6895,139.6917,33.1,1.2,6.0,240
2025-08-01 09:00:00,新潟,37.9026,139.0232,29.8,0.0,4.8,250
2025-08-01 09:00:00,名古屋,35.1815,136.9066,34.0,0.0,4.0,250
2025-08-01 09:00:00,大阪,34.6937,135.5023,34.8,0.0,4.2,230
2025-08-01 09:00:00,広島,34.3853,132.4553,33.0,0.2,3.8,220
2025-08-01 09:00:00,高知,33.5597,133.5311,31.9,0.0,5.0,240
2025-08-01 09:00:00,福岡,33.5902,130.4017,33.1,4.5,6.2,220
2025-08-01 09:00:00,鹿児島,31.5966,130.5571,32.5,1.0,5.8,220
2025-08-01 09:00:00,那覇,26.2124,127.6792,33.8,12.0,8.5,180
2025-08-01 10:00:00,札幌,43.0642,141.3469,23.1,0.0,3.6,280
2025-08-01 10:00:00,仙台,38.2682,140.8694,28.0,0.0,5.5,215
2025-08-01 10:00:00,東京,35.6895,139.6917,34.0,2.0,6.8,245
2025-08-01 10:00:00,新潟,37.9026,139.0232,30.6,0.0,5.0,255
2025-08-01 10:00:00,名古屋,35.1815,136.9066,35.0,0.0,4.3,250
2025-08-01 10:00:00,大阪,34.6937,135.5023,35.6,0.0,4.8,235
2025-08-01 10:00:00,広島,34.3853,132.4553,33.9,0.5,4.2,225
2025-08-01 10:00:00,高知,33.5597,133.5311,32.6,0.0,5.4,245
2025-08-01 10:00:00,福岡,33.5902,130.4017,34.0,5.5,6.9,225
2025-08-01 10:00:00,鹿児島,31.5966,130.5571,33.4,1.2,6.2,225
2025-08-01 10:00:00,那覇,26.2124,127.6792,34.2,14.0,9.0,185
